: gender-test
bayaw tandang  hipag  inahin
ama bayaw  ina  hipag
binata labandero  dalaga  labandera
ama ate  ina  kuya
erpat binata  ermat  dalaga
bayaw prinsipe  hipag  prinsesa
labandero guwapo  labandera  maganda
guwapo papa  maganda  mama
binata tandang  dalaga  inahin
bayaw lalaki  hipag  babae
ate nobyo  kuya  nobya
ate guwapo  kuya  maganda
lalaki binata  babae  dalaga
erpat nobyo  ermat  nobya
tito binata  tita  dalaga
ama lalaki  ina  babae
tiyo ginoo  tiya  ginang
prinsipe hari  prinsesa  reyna
ama tatay  ina  nanay
hari papa  reyna  mama
tiyo tito  tiya  tita
ate prinsipe  kuya  prinsesa
labandero tandang  labandera  inahin
tatay tandang  nanay  inahin
tatay ate  nanay  kuya
lolo ninong  lola  ninang
tiyo labandero  tiya  labandera
ginoo tandang  ginang  inahin
lolo prinsipe  lola  prinsesa
binata ginoo  dalaga  ginang
lolo guwapo  lola  maganda
lalaki tandang  babae  inahin
labandero papa  labandera  mama
tatay guwapo  nanay  maganda
ginoo labandero  ginang  labandera
ama tiyo  ina  tiya
hari labandero  reyna  labandera
lalaki prinsipe  babae  prinsesa
labandero guwapo  labandera  maganda
ninong lalaki  ninang  babae
guwapo papa  maganda  mama
ama guwapo  ina  maganda
nobyo guwapo  nobya  maganda
prinsipe nobyo  prinsesa  nobya
erpat lalaki  ermat  babae
tito nobyo  tita  nobya
ate erpat  kuya  ermat
ate binata  kuya  dalaga
lalaki prinsipe  babae  prinsesa
tatay lolo  nanay  lola
tatay ginoo  nanay  ginang
lolo hari  lola  reyna
lalaki ginoo  babae  ginang
tatay ginoo  nanay  ginang
lalaki papa  babae  mama
erpat labandero  ermat  labandera
hari guwapo  reyna  maganda
nobyo tandang  nobya  inahin
lalaki binata  babae  dalaga
prinsipe ginoo  prinsesa  ginang
tiyo ninong  tiya  ninang
tandang papa  inahin  mama
ninong labandero  ninang  labandera
tiyo tito  tiya  tita
ninong labandero  ninang  labandera
ama erpat  ina  ermat
bayaw binata  hipag  dalaga
tito ginoo  tita  ginang
ate hari  kuya  reyna
guwapo papa  maganda  mama
tito labandero  tita  labandera
tiyo ninong  tiya  ninang
ginoo guwapo  ginang  maganda
tandang papa  inahin  mama
prinsipe guwapo  prinsesa  maganda
lalaki guwapo  babae  maganda
hari guwapo  reyna  maganda
binata guwapo  dalaga  maganda
nobyo papa  nobya  mama
ginoo nobyo  ginang  nobya
tiyo papa  tiya  mama
tandang papa  inahin  mama
erpat ginoo  ermat  ginang
nobyo tandang  nobya  inahin
tiyo labandero  tiya  labandera
labandero tandang  labandera  inahin
labandero papa  labandera  mama
ama guwapo  ina  maganda
ginoo labandero  ginang  labandera
ginoo papa  ginang  mama
tito tandang  tita  inahin
ate tandang  kuya  inahin
lolo ninong  lola  ninang
lalaki binata  babae  dalaga
erpat lalaki  ermat  babae
erpat lalaki  ermat  babae
tito binata  tita  dalaga
tiyo prinsipe  tiya  prinsesa
hari ginoo  reyna  ginang
ninong hari  ninang  reyna
ate lalaki  kuya  babae
ninong papa  ninang  mama
tito prinsipe  tita  prinsesa
tatay lalaki  nanay  babae
tiyo guwapo  tiya  maganda
ginoo nobyo  ginang  nobya
tito papa  tita  mama
hari papa  reyna  mama
hari nobyo  reyna  nobya
bayaw guwapo  hipag  maganda
bayaw binata  hipag  dalaga
bayaw ginoo  hipag  ginang
tito prinsipe  tita  prinsesa
labandero guwapo  labandera  maganda
bayaw guwapo  hipag  maganda
erpat tandang  ermat  inahin
ninong prinsipe  ninang  prinsesa
tito labandero  tita  labandera
bayaw tandang  hipag  inahin
binata nobyo  dalaga  nobya
binata labandero  dalaga  labandera
prinsipe papa  prinsesa  mama
lolo hari  lola  reyna
ate tiyo  kuya  tiya
guwapo tandang  maganda  inahin
tito hari  tita  reyna
ninong nobyo  ninang  nobya
tatay tito  nanay  tita
bayaw papa  hipag  mama
ninong guwapo  ninang  maganda
tatay ninong  nanay  ninang
nobyo guwapo  nobya  maganda
ama binata  ina  dalaga
ginoo tandang  ginang  inahin
hari labandero  reyna  labandera
ate ninong  kuya  ninang
binata ginoo  dalaga  ginang
lolo labandero  lola  labandera
tito tandang  tita  inahin
ama prinsipe  ina  prinsesa
erpat labandero  ermat  labandera
nobyo papa  nobya  mama
prinsipe guwapo  prinsesa  maganda
erpat ginoo  ermat  ginang
tatay papa  nanay  mama
nobyo labandero  nobya  labandera
bayaw nobyo  hipag  nobya
tito papa  tita  mama
bayaw hari  hipag  reyna
ninong erpat  ninang  ermat
erpat papa  ermat  mama
tatay labandero  nanay  labandera
lalaki hari  babae  reyna
ama ninong  ina  ninang
hari tandang  reyna  inahin
tiyo papa  tiya  mama
nobyo papa  nobya  mama
erpat guwapo  ermat  maganda
lolo erpat  lola  ermat
ama ate  ina  kuya
tatay hari  nanay  reyna
tatay prinsipe  nanay  prinsesa
ninong erpat  ninang  ermat
hari ginoo  reyna  ginang
bayaw labandero  hipag  labandera
prinsipe hari  prinsesa  reyna
tito lalaki  tita  babae
ama tandang  ina  inahin
lalaki tandang  babae  inahin
ginoo tandang  ginang  inahin
prinsipe binata  prinsesa  dalaga
bayaw ginoo  hipag  ginang
ninong guwapo  ninang  maganda
ama hari  ina  reyna
tiyo lalaki  tiya  babae
ama ginoo  ina  ginang
lalaki hari  babae  reyna
lolo tandang  lola  inahin
ate hari  kuya  reyna
ate lalaki  kuya  babae
binata papa  dalaga  mama
lolo ginoo  lola  ginang
tiyo hari  tiya  reyna
lolo tito  lola  tita
bayaw tandang  hipag  inahin
erpat prinsipe  ermat  prinsesa
guwapo tandang  maganda  inahin
erpat labandero  ermat  labandera
tito lalaki  tita  babae
bayaw erpat  hipag  ermat
lalaki guwapo  babae  maganda
bayaw erpat  hipag  ermat
nobyo guwapo  nobya  maganda
tatay binata  nanay  dalaga
ate labandero  kuya  labandera
ginoo guwapo  ginang  maganda
ninong bayaw  ninang  hipag
tiyo hari  tiya  reyna
ninong papa  ninang  mama
erpat nobyo  ermat  nobya
bayaw guwapo  hipag  maganda
bayaw prinsipe  hipag  prinsesa
ate nobyo  kuya  nobya
tiyo guwapo  tiya  maganda
prinsipe tandang  prinsesa  inahin
