: magkasalungat-words
baguhan dumating  beterano  umalis
masipag matalim  tamad  mapurol
akyat tulak  baba abante atras   hila 
mahaba una  maikli  huli
hulihin una  pakawalan  huli
dito malinis  diyan  marumi
araw ito  gabi   iyan
bakante gutom  okupado  busog
kaibigan malinis  kaaway  marumi
takot tandaan  matapang  kalimutan
matagal pagsilang  maigsi  pagkamatay
itim mag-ipon  puti  gumastos
sobra una  kulang  huli
sariwa suwerte  bulok  malas
makapal mayaman  manipis  mahirap
ibigay magalang  tanggapin  bastos
maganda natural  pangit  artipisyal
manalo matangkad  matalo  pandak
akyat ibigay  baba   tanggapin
mapagbigay marami  makasarili  iilan
sobra tama  kulang  mali
mapagbigay tanong  makasarili  sagot
bakante maganda  okupado  pangit
nakaraan takot  hinaharap   matapang
manalo tama  matalo  mali
malinaw masikip  malabo clear  maluwag
malambot simple  matigas  komplikado
hinog itim  hilaw  puti
panalo suwerte  talo  malas
maganda matalim  pangit  mapurol
ilalim kaibigan  ibabaw  kaaway
mataas tulak  mababa  hila 
matagal tandaan  maigsi  kalimutan
ito makinis  iyan  magaspang
masikip sariwa  maluwag  bulok
malambot tanong  matigas  sagot
palagi tulak  bihira  hila 
manalo mapagbigay  matalo  makasarili
tulog tunay  gising   peke
mabigat sariwa  magaan  bulok
dumating hinog  umalis  hilaw
ngiti palagi  simangot  bihira
mabangis mahal  maamo  mura expensive
malambot matalim  matigas  mapurol
matalim sobra  mapurol  kulang
masikip nakaraan  maluwag  hinaharap 
bago harap  luma   likod
malalim tunay  mababaw  peke
umpisa tanong  wakas  sagot
maaga mabilis  huli  mabagal
tandaan tulog  kalimutan  gising 
itim mahaba  puti  maikli
hulihin posible  pakawalan  imposible
buo una  kulang  huli
dumating mabilis  umalis  mabagal
masipag magkapareho  tamad  magkaiba
hulihin tama  pakawalan  mali
mahirap maingay  madali  tahimik
buo magtagumpay  kulang  mabig
simple umpisa  komplikado  wakas
marami una  iilan  huli
mahiyain mataas  agresibo  mababa
ihagis tulog  saluhin  gising 
gutom umpisa  busog  wakas
palagi takot  bihira  matapang
basa ibigay  tuyo   tanggapin
marami umpisa  iilan  wakas
maliwanag tama  madilim  mali
akyat matangkad  baba abante atras   pandak
palagi mataas  bihira  mababa
mainit masikip  malamig  maluwag
tama tulak  mali  hila 
posible mataas  imposible  mababa
masaya ngiti  malungkot  simangot
lahat pagsilang  wala  pagkamatay
ito tandaan  iyan  kalimutan
magtagumpay palagi  mabig  bihira
makinis suwerte  magaspang  malas
tandaan tulak  kalimutan  hila 
mahirap malalim  madali  mababaw
itim malambot  puti  matigas
hulihin simple  pakawalan  komplikado
makapal suwerte  manipis  malas
bukas tandaan  sarado  kalimutan
masikip tulak  maluwag  hila 
malinis natural  marumi  artipisyal
tanong tunay  sagot  peke
malinaw mapagbigay  malabo clear  makasarili
malakas mataba  mahina  payat
masikip mayaman  maluwag  mahirap
malambot puno  matigas  walang
mag-ipon ngiti  gumastos  simangot
mahirap malawak  madali  makitid
nakaraan tulog  hinaharap   gising 
kongkreto pagsilang  basal  pagkamatay
makapal mapagbigay  manipis  makasarili
malakas malapit  mahina  malayo
maaga maayos  huli  magulo
buo tandaan  kulang  kalimutan
maaga mataas  huli  mababa
itago mahal  ipakita  mura expensive
bukas una  sarado  huli
malaki sobra  maliit  kulang
maaga maganda  huli  pangit
maayos malakas  magulo  mahina
simple takot  komplikado  matapang
magtiwala marami  mag-alinlangan  iilan
babae lahat  lalaki   wala
ihagis malapit  saluhin  malayo
tandaan tunay  kalimutan  peke
mainit matalim  malamig  mapurol
mahiyain umpisa  agresibo  wakas
ayusin mahal  sirain   mura expensive
manalo tama  matalo  mali
simple tunay  komplikado  peke
mainit umpisa  malamig  wakas
magkapareho tama  magkaiba  mali
mahaba makinis  maikli  magaspang
mataba panalo  payat  talo
bukas takot  sarado  matapang
baguhan tama  beterano  mali
umpisa takot  wakas  matapang
harap mainit  likod  malamig
natural tulog  artipisyal  gising 
ngiti tanong  simangot  sagot
loob mataas  labas  mababa
malalim tulog  mababaw  gising 
ikabit mahirap  ihiwalay  madali
bukas mahal  sarado  mura expensive
sobra tunay  kulang  peke
marami sariwa  iilan  bulok
magkapareho tulog  magkaiba  gising 
palagi mataas  bihira  mababa
maganda maliwanag  pangit  madilim
magkapareho sariwa  magkaiba  bulok
mayaman simple  mahirap  komplikado
maliwanag tandaan  madilim  kalimutan
buo matangkad  kulang  pandak
mayaman ngiti  mahirap  simangot
kaibigan masipag  kaaway  tamad
mahirap posible  madali  imposible
kongkreto simple  basal  komplikado
tulak tunay  hila   peke
tama tandaan  mali  kalimutan
mabuti mahal  masama  mura expensive
langit matalim  lupa  mapurol
maayos makapal  magulo  manipis
bago malapit  luma   malayo
mainit sariwa  malamig  bulok
ilalim suwerte  ibabaw  malas
masaya masikip  malungkot  maluwag
suwerte tunay  malas  peke
kaibigan maaga  kaaway  huli
marami masikip  iilan  maluwag
ligtas mayaman  mapanganib  mahirap
magkapareho tandaan  magkaiba  kalimutan
araw lahat  gabi   wala
maaga malapot  huli  malabnaw
tandaan tulak  kalimutan  hila 
bata maingay  matanda   tahimik
akyat ligtas  baba abante atras   mapanganib
mayaman suwerte  mahirap  malas
suwerte tanong  malas  sagot
malawak matalim  makitid  mapurol
babae ito  lalaki   iyan
puno tulak  walang  hila 
masaya umpisa  malungkot  wakas
maliwanag tulog  madilim  gising 
tandaan tunay  kalimutan  peke
maganda una  pangit  huli
ibigay takot  tanggapin  matapang
mabuti malaki  masama  maliit
mahaba masipag  maikli  tamad
langit malalim  lupa  mababaw
malinaw puno  malabo clear  walang
malawak puno  makitid  walang
itim mahiyain  puti  agresibo
umpisa tulog  wakas  gising 
mabigat matangkad  magaan  pandak
ihagis masaya  saluhin  malungkot
hinog tandaan  hilaw  kalimutan
akyat tulak  baba   hila 
mahaba natural  maikli  artipisyal
langit makinis  lupa  magaspang
suwerte takot  malas  matapang
bata malalim  matanda   mababaw
simple sobra  komplikado  kulang
akyat malinis  baba abante atras   marumi
buhay maaraw  patay  maulan
tandaan tulog  kalimutan  gising 
mayaman tandaan  mahirap  kalimutan
magkapareho sobra  magkaiba  kulang
tama tunay  mali  peke
harap malapit  likod  malayo
babae buhay  lalaki   patay
posible tulog  imposible  gising 
tulog tunay  gising   peke
ihagis masikip  saluhin  maluwag
mayaman magkapareho  mahirap  magkaiba
itim kanan  puti  kaliwa
ibigay mabuti  tanggapin  masama
itago mag-ipon  ipakita  gumastos
kanan sobra  kaliwa  kulang
malapot mayaman  malabnaw  mahirap
magalang takot  bastos  matapang
mahirap malambot  madali  matigas
babae mahaba  lalaki   maikli
basa malapit  tuyo   malayo
mabilis malapot  mabagal  malabnaw
ibigay tandaan  tanggapin  kalimutan
mabilis mainit  mabagal  malamig
ihagis natural  saluhin  artipisyal
umpisa tunay  wakas  peke
mabigat tandaan  magaan  kalimutan
gutom malinis  busog  marumi
langit simple  lupa  komplikado
mabigat pagsilang  magaan  pagkamatay
mabangis ngiti  maamo  simangot
araw nakaraan  gabi   hinaharap 
puno umpisa  walang  wakas
magkapareho suwerte  magkaiba  malas
suwerte una  malas  huli
mabilis makapal  mabagal  manipis
malinaw simple  malabo clear  komplikado
bata magtagumpay  matanda   mabig
takot una  matapang  huli
hawakan maganda  bitawan  pangit
magalang maliwanag  bastos  madilim
mapagbigay tandaan  makasarili  kalimutan
suwerte tandaan  malas  kalimutan
ngiti palagi  simangot  bihira
magalang palagi  bastos  bihira
kaibigan tunay  kaaway  peke
basa panalo  tuyo   talo
mabilis mag-ipon  mabagal  gumastos
malawak una  makitid  huli
ihagis pagsilang  saluhin  pagkamatay
kanan makinis  kaliwa  magaspang
takot tama  matapang  mali
kongkreto palagi  basal  bihira
sobra suwerte  kulang  malas
mag-ipon tama  gumastos  mali
mabilis matagal  mabagal  maigsi
mag-ipon tandaan  gumastos  kalimutan
pagsilang magkapareho  pagkamatay  magkaiba
ligtas magtiwala  mapanganib  mag-alinlangan
bago magtiwala  luma   mag-alinlangan
buo malapot  kulang  malabnaw
dumating takot  umalis  matapang
maganda malinis  pangit  marumi
ikabit natural  ihiwalay  artipisyal
panalo tandaan  talo  kalimutan
masipag natural  tamad  artipisyal
kaibigan langit  kaaway  lupa
bata maganda  matanda   pangit
itago tulog  ipakita  gising 
ilalim mabuti  ibabaw  masama
tandaan tanong  kalimutan  sagot
palagi panalo  bihira  talo
maaraw panalo  maulan  talo
itim palagi  puti  bihira
mayaman takot  mahirap  matapang
ibigay matangkad  tanggapin  pandak
malambot tandaan  matigas  kalimutan
bukas maayos  sarado  magulo
hulihin langit  pakawalan  lupa
malapit tandaan  malayo  kalimutan
mataba matalim  payat  mapurol
sariwa takot  bulok  matapang
umpisa mataas  wakas  mababa
sobra tandaan  kulang  kalimutan
hinog maliwanag  hilaw  madilim
mabigat nakaraan  magaan  hinaharap 
