bihira sagisag  madalang  simbolo
dahilan magtiis  sanhi  magdusa
aksidente paningin  sakuna  pananaw
dalampasigan wakas  baybayin  katapusan
pangulo sagot  presidente  tugon
magmadali makintab  mag-apura  makinang
magisip-isip mapalad  magmuni-muni  masuwerte
basahan karaniwan  trapo  ordinaryo
pumunta sagot  tumungo  tugon
bandila mag-utos  watawat  mag-atas
problema saksi  suliranin  testigo
madalas magastos  malimit  magugol
lunas presko  remedyo  maaliwalas
pursiyento sigaw  bahagdan  hiyaw
silbi sobra  gamit  labis
tuwina umiwas  lagi  umilag
grupo pantalon  pangkat  salawal
matalim tuwa  matalas  galak
tunay umiwas  totoo  umilag
puwersa sagot  lakas  tugon
sawi sumpa  bigo  panata
tapang tunay  lakas-loob  totoo
kalihim matagal  sekretarya  malaon
away handog  laban  alay
bahala talaan  mananagot  listahan
kriminal lungkot  salarin  lumbay
paningin plato  pananaw  pinggan
kriminal mananahi  salarin  modista
dulo hardin  hangganan  halamanan
dahan-dahan suntok  hinay-hinay  sapok
matapang umako  magiting  umamin
mahalaga nakatago  importante  nakakubli
pantalon tamad  salawal  batugan
handog libingan  alay  sementeryo
magkasinggulang taksil  magkasintanda  traidor
dala pakiusap  hatid  samo
kuwento tibok  salaysay  pintig
bintang lunas  paratang  remedyo
anyo upuan  itsura  silya
tapang umiwas  lakas-loob  umilag
kasali makitid  kalahok  makipot
saranggola tirahan  guryon  tahanan
saysay sundin  kabuluhan  tumalima
pakiusap pamilya  samo  mag-anak
magtiis masipag  magdusa  matiyaga
magkagalit tapang  magkaaway  lakas-loob
mayabang tunay  hambog  totoo
masipag palayaw  matiyaga  tawag
pirma simot  lagda  said
mahigpit silbi  istrikto  gamit
gusto ibig libingan  hilig  sementeryo
kalihim tama  sekretarya  tumpak
lansangan magusot  kalye  malukot
hugis nakalilibang  korte  kawili-wili
makintab tibok  makinang  pintig
bandila kaibigan  watawat  katoto
berde saranggola  luntian  guryon
hampas harang  palo  hadlang
sanay tuwina  bihasa  lagi
hugis lansangan  korte  kalye
pirma sawi  lagda  bigo
palengke suweldo  pamilihan  sahod
kalihim pumalit  sekretarya  humalili
maawain tulong  mahabagin  suporta
karaniwan matagal  ordinaryo  malaon
bunga pasikut-sikot  resulta  paliguy-ligoy
bihira sagot  madalang  tugon
aralin sagisag  leksiyon  simbolo
anyo lakbay  itsura  biyahe
pirma tala  lagda  bituin
mag-utos sandata  mag-atas  armas
tiyak wakas  sigurado  katapusan
lakbay maawain  biyahe  mahabagin
tadhana tamad  kapalaran  batugan
serbisyo simot  paglilingkod  said
gramatika matipid  balarila  maimot
sakop simula  saklaw  umpisa
presko tala  maaliwalas  bituin
sigaw simot  hiyaw  said
dami hampas  bilang  palo
masarap naloko  malinamnam  nalinlang
giba simot  wasak  said
umiwas uri  umilag  klase
mapagbigay plato  bukas-palad  pinggan
bihira kapos  madalang  kulang
magmukmok masipag  magmaktol  matiyaga
batayan mahigpit  basehan  istrikto
harang maliit  hadlang  munti
bunga harang  resulta  hadlang
gayahin mabango  tularan  mahalimuyak
tuwa ulam  galak  putahe
pantalon sang-ayon  salawal  pabor
alaala digmaan  gunita  gera
kapos sanay  kulang  bihasa
dekorasyon serbisyo  palamuti  paglilingkod
pamilya serbisyo  mag-anak  paglilingkod
duwag magulat  bahag-buntot  mabigla
grupo tuwina  pangkat  lagi
mabilis suwail  matulin  sutil
kamukha saysay  kahawig  kabuluhan
sanay umako  bihasa  umamin
mag-utos pamilya  mag-atas  mag-anak
laki tuwa  sukat  galak
magastos puwersa  magugol  lakas
tirahan tiyak  tahanan  sigurado
pag-ibig wika  pagmamahal  lengguwahe
maawain tiyak  mahabagin  sigurado
tuwina wakas  lagi  katapusan
magulat sagisag  mabigla  simbolo
pangulo paningin  presidente  pananaw
bahagi sagisag  parte  simbolo
makata mananahi  poeta  modista
mabuti wika  mainam  lengguwahe
bilanggo sagot  preso  tugon
kaibigan mabaho  katoto  maalingasaw
matagal tibok  malaon  pintig
makintab presko  makinang  maaliwalas
duwag gusto ibig  bahag-buntot  hilig
bihira opisina  madalang  tanggapan
bunga tapang  resulta  lakas-loob
pumunta umiwas  tumungo  umilag
karaniwan pasikut-sikot  ordinaryo  paliguy-ligoy
suweldo tapang  sahod  lakas-loob
matipid pila  maimot  hanay
huwaran wika  modelo  lengguwahe
kama pag-ibig  higaan  pagmamahal
kuwento mag-utos  salaysay  mag-atas
matamo sakay  makamit  lulan
tiyak uri  sigurado  klase
karaniwan sandata  ordinaryo  armas
bintang prutas  paratang  bungang-kahoy
hiram sagisag  utang  simbolo
likas saranggola  natural  guryon
asul bahala  bughaw  mananagot
angal lakbay  reklamo  biyahe
palengke palingun-lingon  pamilihan  palinga-linga
pangarap prutas  mithi  bungang-kahoy
pila saysay  hanay  kabuluhan
basahan puhunan  trapo  kapital
uri wakas  klase  katapusan
pumalit sundin  humalili  tumalima
magkasinggulang prutas  magkasintanda  bungang-kahoy
deretso naloko  tuwid  nalinlang
magkagalit pasikut-sikot  magkaaway  paliguy-ligoy
bukod-tangi magastos  naiiba  magugol
pag-ibig sagisag  pagmamahal  simbolo
pila umiwas  hanay  umilag
makitid opisina  makipot  tanggapan
bata grupo  musmos  pangkat
magkalaban makintab  magkatunggali  makinang
dala pangarap  hatid  mithi
magastos simula  magugol  umpisa
butil pumutok  buto  sumabog
dasal pangulo  dalangin  presidente
bata sigaw  musmos  hiyaw
laki malinaw  sukat  maliwanag
bunga kalbo  resulta  panot
pantalon sang-ayon  salawal  pabor
tama tulong  tumpak  suporta
lihim mabilis  sikreto  matulin
maawain pasikut-sikot  mahabagin  paliguy-ligoy
lunas taksil  remedyo  traidor
sinasaad ulam  sinasabi  putahe
aksidente likha  sakuna  gawa
saysay suwail  kabuluhan  sutil
hangad tadhana  nais  kapalaran
lihim magmadali  sikreto  mag-apura
mananahi tama  modista  tumpak
angkop nakatago  akma  nakakubli
magastos mananahi  magugol  modista
bunga tunay  resulta  totoo
dahilan kamukha  sanhi  kahawig
prutas puwersa  bungang-kahoy  lakas
makata maliit  poeta  munti
malakas saranggola  matibay  guryon
alam palengke  batid  pamilihan
pumunta simula  tumungo  umpisa
bintang landas  paratang  daan
makata sang-ayon  poeta  pabor
mabuti puhunan  mainam  kapital
pirma pumutok  lagda  sumabog
dasal nakatago  dalangin  nakakubli
bunga pasikut-sikot  resulta  paliguy-ligoy
mabango sakop  mahalimuyak  saklaw
eksperto pag-ibig  dalubhasa  pagmamahal
pantalon tuwina  salawal  lagi
madalas sumpa  malimit  panata
bagyo pasikut-sikot  unos  paliguy-ligoy
kuwento pag-ibig  salaysay  pagmamahal
presko tala  maaliwalas  bituin
palengke pamaypay  pamilihan  abaniko
pangulo tirahan  presidente  tahanan
mananahi puwersa  modista  lakas
gitna premyo  sentro  gantimpala
hinuli sanay  dinakip  bihasa
opisina pumutok  tanggapan  sumabog
labag sandata  ilegal  armas
palingun-lingon puhunan  palinga-linga  kapital
hanapbuhay pangulo  trabaho  presidente
kuwento lansangan  salaysay  kalye
libingan tapang  sementeryo  lakas-loob
gitna pumunta  sentro  tumungo
makata tunay  poeta  totoo
hatol matipid  husga  maimot
kasabay puwersa  kasama  lakas
hangad problema  nais  suliranin
maalaga sakay  maaruga  lulan
harang likas  hadlang  natural
bigat problema  timbang  suliranin
serbisyo uri  paglilingkod  klase
dahilan gumaling  sanhi  maghilom
hampas tunay  palo  totoo
tadhana umiwas  kapalaran  umilag
sigaw tamad  hiyaw  batugan
pumutok wakas  sumabog  katapusan
